import time: self [us] | cumulative | imported package
import time:       185 |        185 |   _io
import time:       121 |        121 |   marshal
import time:       498 |        498 |   posix
import time:      2684 |       3487 | _frozen_importlib_external
import time:       109 |        109 |   time
import time:       659 |        768 | zipimport
import time:        41 |         41 |     _codecs
import time:       785 |        825 |   codecs
import time:       366 |        366 |   encodings.aliases
import time:      1518 |       2709 | encodings
import time:       325 |        325 | encodings.utf_8
import time:        93 |         93 | _signal
import time:        26 |         26 |     _abc
import time:       688 |        714 |   abc
import time:      1556 |       2269 | io
import time:        42 |         42 |       _stat
import time:       413 |        454 |     stat
import time:       917 |        917 |     _collections_abc
import time:        91 |         91 |       errno
import time:       118 |        118 |       genericpath
import time:      1320 |       1527 |     posixpath
import time:      2201 |       5098 |   os
import time:       108 |        108 |   _sitebuiltins
import time:       498 |        498 |   encodings.utf_8_sig
import time:       144 |        144 |         itertools
import time:       125 |        125 |         keyword
import time:        68 |         68 |           _operator
import time:       531 |        599 |         operator
import time:       196 |        196 |         reprlib
import time:        95 |         95 |         _collections
import time:      2287 |       3443 |       collections
import time:        60 |         60 |         _functools
import time:      1108 |       1168 |       functools
import time:       467 |        467 |       types
import time:      1559 |       6635 |     contextlib
import time:     11750 |      18384 |   _virtualenv
import time:       490 |        490 |   sitecustomize
import time:     28246 |      52821 | site
import time:      5456 |       5456 | linecache
import time:     19398 |      19398 |     src
import time:     37486 |      56883 |   src.api
import time:      2094 |       2094 |       enum
import time:        69 |         69 |         _sre
import time:       236 |        236 |           re._constants
import time:       761 |        997 |         re._parser
import time:       232 |        232 |         re._casefix
import time:      1408 |       2704 |       re._compiler
import time:       620 |        620 |       copyreg
import time:      2321 |       7738 |     re
import time:      1305 |       1305 |       textwrap
import time:       892 |        892 |       warnings
import time:       846 |        846 |         __future__
import time:      1486 |       2332 |       _colorize
import time:      3200 |       7727 |     traceback
import time:       747 |        747 |       _weakrefset
import time:      1478 |       2224 |     weakref
import time:        56 |         56 |       _string
import time:      1527 |       1582 |     string
import time:      1313 |       1313 |     threading
import time:        60 |         60 |     atexit
import time:      5785 |      26426 |   logging
import time:     20636 |      20636 |     starlette
import time:       996 |        996 |         http
import time:     12111 |      13107 |       starlette.exceptions
import time:     17880 |      30987 |     starlette.status
import time:       102 |        102 |         _typing
import time:      4814 |       4916 |       typing
import time:     24906 |      24906 |         annotated_doc.main
import time:     22708 |      47614 |       annotated_doc
import time:       663 |        663 |         copy
import time:       432 |        432 |           email
import time:        79 |         79 |           binascii
import time:       484 |        484 |           quopri
import time:       259 |        259 |               _datetime
import time:       714 |        973 |             datetime
import time:       442 |        442 |               urllib
import time:        95 |         95 |               math
import time:      2515 |       2515 |               ipaddress
import time:      2564 |       5614 |             urllib.parse
import time:       379 |        379 |             email._parseaddr
import time:      1668 |       8633 |           email.utils
import time:       682 |        682 |           email.errors
import time:       370 |        370 |               email.quoprimime
import time:       192 |        192 |                     _struct
import time:      1427 |       1618 |                   struct
import time:      1506 |       3124 |                 base64
import time:       703 |       3826 |               email.base64mime
import time:       220 |        220 |                 email.encoders
import time:       844 |       1064 |               email.charset
import time:      2309 |       7567 |             email.header
import time:      1319 |       8885 |           email._policybase
import time:       438 |        438 |           email._encoded_words
import time:       211 |        211 |           email.iterators
import time:      8497 |      28338 |         email.message
import time:       868 |        868 |             _ast
import time:      2591 |       3458 |           ast
import time:        64 |         64 |               _opcode
import time:       603 |        603 |               _opcode_metadata
import time:      1372 |       2037 |             opcode
import time:      2279 |       4316 |           dis
import time:       692 |        692 |             importlib
import time:       789 |       1481 |           importlib.machinery
import time:       816 |        816 |             token
import time:        58 |         58 |             _tokenize
import time:      2272 |       3145 |           tokenize
import time:      5906 |      18305 |         inspect
import time:       157 |        157 |               _json
import time:       623 |        780 |             json.scanner
import time:      1062 |       1841 |           json.decoder
import time:       347 |        347 |           json.encoder
import time:      2030 |       4217 |         json
import time:        54 |         54 |           _contextvars
import time:      1545 |       1598 |         contextvars
import time:      1391 |       1391 |         dataclasses
import time:     27938 |      27938 |             anyio._core
import time:     31186 |      59124 |           anyio._core._contextmanagers
import time:     19881 |      19881 |             anyio._core._exceptions
import time:      1228 |       1228 |             sniffio
import time:     23160 |      44269 |           anyio._core._eventloop
import time:       637 |        637 |                   fnmatch
import time:      1364 |       2000 |                 glob
import time:       938 |       2937 |               pathlib._abc
import time:      1075 |       1075 |                   _winapi
import time:       817 |        817 |                   nt
import time:       650 |        650 |                   nt
import time:       721 |        721 |                   nt
import time:       633 |        633 |                   nt
import time:       655 |        655 |                   nt
import time:       665 |        665 |                   nt
import time:       913 |        913 |                   nt
import time:      2786 |       8913 |                 ntpath
import time:       107 |        107 |                 pwd
import time:        64 |         64 |                 grp
import time:      1628 |      10709 |               pathlib._local
import time:      1205 |      14850 |             pathlib
import time:      5820 |       5820 |                   signal
import time:       233 |        233 |                     _socket
import time:       151 |        151 |                       select
import time:      1447 |       1598 |                     selectors
import time:       226 |        226 |                     array
import time:      3104 |       5159 |                   socket
import time:     33144 |      44122 |                 anyio.abc._eventloop
import time:     18145 |      18145 |                 anyio.abc._resources
import time:     19256 |      19256 |                   anyio._core._typedattr
import time:     15848 |      15848 |                     anyio.abc._tasks
import time:     16929 |      32776 |                   anyio.abc._streams
import time:     21384 |      73415 |                 anyio.abc._sockets
import time:     18180 |      18180 |                 anyio.abc._subprocesses
import time:     20444 |      20444 |                 anyio.abc._testing
import time:     17521 |      17521 |                   anyio.lowlevel
import time:     17065 |      17065 |                   anyio._core._tasks
import time:     19367 |      19367 |                   anyio._core._testing
import time:     26686 |      80638 |                 anyio._core._synchronization
import time:       529 |        529 |                     concurrent
import time:       588 |        588 |                     concurrent.futures._base
import time:      1148 |       2264 |                   concurrent.futures
import time:     17448 |      19711 |                 anyio.from_thread
import time:     50144 |     324796 |               anyio.abc
import time:     13737 |     338533 |             anyio.to_thread
import time:     16085 |     369467 |           anyio._core._fileio
import time:     22164 |      22164 |           anyio._core._resources
import time:     17717 |      17717 |           anyio._core._signals
import time:      1298 |       1298 |               _ssl
import time:      3085 |       4382 |             ssl
import time:     27105 |      27105 |               anyio.streams
import time:     35693 |      62797 |             anyio.streams.stapled
import time:     19322 |      19322 |             anyio.streams.tls
import time:     17834 |     104334 |           anyio._core._sockets
import time:     21612 |      21612 |             anyio.streams.memory
import time:     16950 |      38562 |           anyio._core._streams
import time:       137 |        137 |                 _locale
import time:      2471 |       2607 |               locale
import time:        82 |         82 |               fcntl
import time:      1166 |       1166 |               msvcrt
import time:        74 |         74 |               _posixsubprocess
import time:      3453 |       7380 |             subprocess
import time:     23124 |      30504 |           anyio._core._subprocesses
import time:       154 |        154 |                 zlib
import time:       894 |        894 |                   _compression
import time:        79 |         79 |                   _bz2
import time:      1311 |       2283 |                 bz2
import time:       144 |        144 |                   _lzma
import time:       994 |       1137 |                 lzma
import time:      2807 |       6380 |               shutil
import time:        80 |         80 |                   _bisect
import time:       983 |       1062 |                 bisect
import time:        61 |         61 |                 _random
import time:      1859 |       2982 |               random
import time:      2907 |      12267 |             tempfile
import time:     22666 |      34933 |           anyio._core._tempfile
import time:     24288 |     745356 |         anyio
import time:     17639 |      17639 |                       typing_extensions
import time:      8551 |       8551 |                       pydantic_core._pydantic_core
import time:      1202 |       1202 |                             numbers
import time:      1031 |       2233 |                           _decimal
import time:      1399 |       3631 |                         decimal
import time:     19838 |      23468 |                       pydantic_core.core_schema
import time:     21518 |      71174 |                     pydantic_core
import time:     13985 |      85158 |                   pydantic.version
import time:     16797 |     101955 |                 pydantic.warnings
import time:     27296 |     129250 |               pydantic._migration
import time:     17168 |      17168 |                   typing_inspection
import time:     16879 |      16879 |                   typing_inspection.typing_objects
import time:     25310 |      59356 |                 typing_inspection.introspection
import time:     27303 |      27303 |                 pydantic._internal
import time:     21452 |      21452 |                     pydantic._internal._namespace_utils
import time:     20870 |      42322 |                   pydantic._internal._typing_extra
import time:     25831 |      68153 |                 pydantic._internal._repr
import time:     14032 |     168842 |               pydantic.errors
import time:     24141 |     322232 |             pydantic
import time:     18442 |      18442 |                 pydantic._internal._internal_dataclass
import time:     14677 |      33119 |               pydantic.aliases
import time:     16537 |      16537 |               pydantic.config
import time:     18542 |      68196 |             pydantic._internal._config
import time:     20623 |      20623 |               pydantic._internal._core_utils
import time:     20825 |      20825 |                 pydantic._internal._import_utils
import time:     19179 |      40003 |               pydantic._internal._utils
import time:     28986 |      89611 |             pydantic._internal._decorators
import time:     16017 |      16017 |                 pydantic._internal._forward_ref
import time:     22350 |      38367 |               pydantic._internal._generics
import time:     16033 |      16033 |               pydantic._internal._docs_extraction
import time:     22154 |      76554 |             pydantic._internal._fields
import time:     29787 |      29787 |                 pydantic.plugin
import time:     29079 |      58865 |               pydantic.plugin._schema_validator
import time:     20139 |      79004 |             pydantic._internal._mock_val_ser
import time:      2319 |       2319 |                 fractions
import time:        74 |         74 |                   _uuid
import time:      1758 |       1831 |                 uuid
import time:     18948 |      18948 |                     sysconfig
import time:      1383 |       1383 |                     _sysconfigdata__linux_x86_64-linux-gnu
import time:      1663 |      21993 |                   zoneinfo._tzpath
import time:       275 |        275 |                   zoneinfo._common
import time:       120 |        120 |                   _zoneinfo
import time:      2475 |      24862 |                 zoneinfo
import time:     18461 |      18461 |                 pydantic.annotated_handlers
import time:     16097 |      16097 |                 pydantic.functional_validators
import time:     32863 |      32863 |                   pydantic._internal._core_metadata
